Date,Product,URL,Price,Rating,Review_Count,Status
2026-07-14,"Lifelong Adjustable Pull-Up Bar for Home Gym | No Screws Hanging Bar, Adjustable Length (74-97cm), Doorway Chin-Up Bar, Gym Equipment for Men Workout, Strength Training. Weight Capacity (200kg)",https://www.amazon.in/dp/B0DMNQGRDW,,4.3 out of 5 stars,"(1,282)",ok
2026-07-14,Lifelong Adjustable Pull-Up Bar,https://www.amazon.in/dp/B0DMNQGRDW,,,,CAPTCHA / bot-check page received
